title,link,source,source_url,category,category_domain,pubDate,guid,guid_isPermaLink
Top story - State of the European Union Debate 2021 - Addressing Europeans' concerns,https://www.europarl.europa.eu/news/en/headlines/priorities/soteu2021,Top stories - European Parliament,https://www.europarl.europa.eu/rss/doc/top-stories/en.xml,Top story,type,"Mon, 13 Sep 2021 13:03:26 GMT",TST_TST-2021-09-09-11812_EN,false
"Top story - Digital transformation in the EU - Benefitting people, the economy and the environment",https://www.europarl.europa.eu/news/en/headlines/priorities/digital-transformation,Top stories - European Parliament,https://www.europarl.europa.eu/rss/doc/top-stories/en.xml,Top story,type,"Wed, 05 May 2021 16:59:54 GMT",TST_TST-2021-05-05-03520_EN,false
Top story - LUX Audience Award 2021 - The best of European cinema,https://www.europarl.europa.eu/news/en/headlines/priorities/lux-award-2021,Top stories - European Parliament,https://www.europarl.europa.eu/rss/doc/top-stories/en.xml,Top story,type,"Wed, 05 May 2021 09:43:17 GMT",TST_TST-2021-04-29-03108_EN,false
Top story - The future is in your hands - Conference on the Future of Europe,https://www.europarl.europa.eu/news/en/headlines/priorities/conference-on-the-future-of-europe,Top stories - European Parliament,https://www.europarl.europa.eu/rss/doc/top-stories/en.xml,Top story,type,"Tue, 20 Apr 2021 09:53:02 GMT",TST_TST-2021-04-14-02005_EN,false
Top story - International Women’s Day 2021 - Women leading the fight against Covid-19,https://www.europarl.europa.eu/news/en/headlines/priorities/international-women-s-day-2021,Top stories - European Parliament,https://www.europarl.europa.eu/rss/doc/top-stories/en.xml,Top story,type,"Mon, 01 Mar 2021 16:42:04 GMT",TST_TST-2021-02-25-98703_EN,false
Top story - Vaccines against Covid-19 - Ensuring safe vaccines for EU citizens,https://www.europarl.europa.eu/news/en/headlines/priorities/vaccines-against-covid-19,Top stories - European Parliament,https://www.europarl.europa.eu/rss/doc/top-stories/en.xml,Top story,type,"Tue, 26 Jan 2021 11:33:03 GMT",TST_TST-2021-01-25-96302_EN,false
Top story - Artificial intelligence and big data - Building trust and boosting innovation,https://www.europarl.europa.eu/news/en/headlines/priorities/artificial-intelligence-in-the-eu,Top stories - European Parliament,https://www.europarl.europa.eu/rss/doc/top-stories/en.xml,Top story,type,"Thu, 22 Oct 2020 13:26:38 GMT",TST_TST-2020-10-22-89904_EN,false
Top story - Sakharov Prize 2020 - The democratic opposition in Belarus,https://www.europarl.europa.eu/news/en/headlines/priorities/sakharov-prize-2020,Top stories - European Parliament,https://www.europarl.europa.eu/rss/doc/top-stories/en.xml,Top story,type,"Thu, 22 Oct 2020 13:21:30 GMT",TST_TST-2020-10-15-89420_EN,false
Top story - Changes in the European Commission 2020 - MEPs assess Mairead McGuinness and Valdis Dombrovskis,https://www.europarl.europa.eu/news/en/headlines/priorities/commission-changes-2020,Top stories - European Parliament,https://www.europarl.europa.eu/rss/doc/top-stories/en.xml,Top story,type,"Fri, 25 Sep 2020 15:11:45 GMT",TST_TST-2020-09-24-87813_EN,false
Top story - The EU's response to the coronavirus - Addressing the Covid-19 outbreak,https://www.europarl.europa.eu/news/en/headlines/priorities/eu-response-to-coronavirus,Top stories - European Parliament,https://www.europarl.europa.eu/rss/doc/top-stories/en.xml,Top story,type,"Mon, 21 Sep 2020 09:55:44 GMT",TST_TST-2020-03-17-75102_EN,false
